id_municipio,risco_observado,risco_previsto,codigo_uf,regiao,meta_alfabetizacao_2025,taxa_alfabetizacao_anterior,n_estudantes_teste,taxa_alfabetizacao_prevista,risco_ic95_inferior,risco_ic95_superior,deficit_para_meta_pp,amostra_suficiente,nome_municipio
2930105,0.7758620689655172,0.813327987425385,29,Nordeste,35.5,19.93,58,18.667201257461496,0.7130479383101481,0.913608036540622,16.832798742538504,True,Senhor do Bonfim
2924009,0.6767676767676768,0.8062530446785805,29,Nordeste,40.21,24.79,99,19.37469553214195,0.7283971318291248,0.8841089575280362,20.83530446785805,True,Paulo Afonso
2924405,0.775,0.7961608135992441,29,Nordeste,39.38,23.9,40,20.383918640075592,0.6713160551599329,0.9210055720385553,18.99608135992441,True,Pilão Arcado
2411205,0.5526315789473685,0.7837160702926632,24,Nordeste,36.93,21.35,38,21.628392970733678,0.6528112089475409,0.9146209316377856,15.301607029266322,True,Santa Cruz
2926004,0.5277777777777778,0.7787108567218097,29,Nordeste,40.5,25.1,36,22.128914327819025,0.6431067040015084,0.9143150094421111,18.371085672180975,True,Remanso
2907103,0.6829268292682927,0.7727197422917084,29,Nordeste,43.56,28.55,41,22.728025770829163,0.6444406129303013,0.9009988716531154,20.83197422917084,True,Carinhanha
2407104,0.7068965517241379,0.7621808374229887,24,Nordeste,44.07,29.15,58,23.78191625770113,0.6526101187595742,0.8717515560864032,20.28808374229887,True,Macaíba
2925501,0.8387096774193549,0.746686536854586,29,Nordeste,48.75,34.88,31,25.331346314541403,0.5935871254508515,0.8997859482583205,23.418653685458597,True,Prado
1303536,0.6170212765957447,0.7466534458232196,13,Norte,48.19,34.17,47,25.334655417678043,0.6223096330390407,0.8709972586073984,22.855344582321955,True,Presidente Figueiredo
4314902,0.7661290322580645,0.7404087729740685,43,Sul,,40.04,248,25.959122702593152,0.6858441681093335,0.7949733778388035,,True,Porto Alegre
