variavel,importancia_media,importancia_desvio
codigo_uf,0.03327377397913993,0.002507399631808545
media_portugues_anterior,0.025727882578541986,0.002998098703835004
taxa_alfabetizacao_anterior,0.018244039244255925,0.002476828426273606
percentual_participacao_anterior,0.004785141102652671,0.0017462635550749258
regiao,0.003682719715336527,0.0017480023512023207
rede_nome,0.0,0.0
meta_alfabetizacao_2025,-0.0005359754293210311,0.00030531321626544857
pib_per_capita_anterior,-0.0005650776947121738,0.0003007782056671278
total_alunos_avaliados_anterior,-0.0008373524690064166,0.0002442123445888677
populacao_anterior,-0.0009738865866464469,0.0002442873586762102
