n,prevalencia_risco,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,f2,brier,taxa_alertas,verdadeiros_negativos,falsos_positivos,falsos_negativos,verdadeiros_positivos,modelo,limiar,pr_auc_treino,roc_auc_treino,gap_pr_auc
35869,0.41994479913016813,0.6542522159916272,0.5442035175164925,0.462962446680978,0.5352664966900624,0.4381078691423519,0.9868552081258714,0.6068213826465005,0.7891635344333312,0.23600483865993094,0.9459421784828125,1741,19065,198,14865,regressao_logistica_c0_3,0.22999999999999998,0.5607998670587193,0.6699522901456249,0.016596349542226774
35869,0.41994479913016813,0.6541812557338322,0.5438446944849675,0.462962446680978,0.5352664966900624,0.4381078691423519,0.9868552081258714,0.6068213826465005,0.7891635344333312,0.23605128948025866,0.9459421784828125,1741,19065,198,14865,regressao_logistica_c1_0,0.22999999999999998,0.5608178102438339,0.669955519322177,0.016973115758866397
35869,0.41994479913016813,0.653095945728635,0.5408540310539223,0.461707881457526,0.5342308898161063,0.4375459761659556,0.987187147314612,0.6063448050888925,0.7889682396510924,0.2337604856991204,0.9474755359781427,1691,19115,193,14870,random_forest_depth16_leaf10,0.24,0.6001988653177126,0.7024487969199819,0.059344834263790336
35869,0.41994479913016813,0.6529630105130116,0.5407237129623214,0.46756251916696867,0.5389018530132685,0.44012109340219036,0.9844652459669389,0.6082943637706129,0.7892383841609453,0.23349678911725738,0.9393348016392986,1942,18864,234,14829,random_forest_leaf20,0.24,0.5975426814410152,0.7007658871230749,0.05681896847869383
35869,0.41994479913016813,0.5,0.41994479913016813,0.41994479913016813,0.5,0.41994479913016813,1.0,0.5914945417419304,0.7835436585137483,0.24383379889177947,1.0,0,20806,0,15063,baseline_majoritario,0.05,0.40436808323468404,0.5,-0.015576715895484095
