id_municipio,taxa_alfabetizacao_anterior,media_portugues_anterior,percentual_participacao_anterior,total_alunos_avaliados_anterior,populacao_anterior,pib_per_capita_anterior,meta_alfabetizacao_2025,cluster,silhouette_global
2401107,52.23,747.557,78.18,129.0,24093.0,45226.704852031704,61.3,1,0.33899545632891714
2401206,24.75,712.36,81.55,137.0,13251.0,35565.91955324127,40.17,1,0.33899545632891714
2401305,36.13,724.9476,80.72,67.0,9730.0,14017.574511819117,49.73,1,0.33899545632891714
2401404,26.01,720.0544,80.6,54.0,8825.0,38064.92917847025,41.32,1,0.33899545632891714
2401453,32.01,716.9271,78.48,186.0,26913.0,36828.447218816174,46.46,1,0.33899545632891714
2401503,55.27,739.968,88.0,22.0,3986.0,15951.580531861515,63.35,1,0.33899545632891714
2401602,14.89,694.0429,75.0,45.0,4807.0,26749.323902641987,29.96,1,0.33899545632891714
2401701,36.61,721.937,,55.0,9952.0,14119.674437299036,,1,0.33899545632891714
2401800,21.47,698.0752,,49.0,12202.0,13781.593181445664,,1,0.33899545632891714
2401859,31.2,713.2731,90.0,81.0,6293.0,19006.99189575719,45.79,1,0.33899545632891714
2401909,38.04,721.9889,78.95,30.0,3268.0,145099.14320685435,51.19,1,0.33899545632891714
2402006,35.59,722.8431,85.95,312.0,61146.0,28387.744087920713,49.31,1,0.33899545632891714
2402105,24.04,712.8877,82.28,65.0,10215.0,12919.725893294177,39.52,1,0.33899545632891714
2402204,37.7,726.7612,79.9,326.0,29668.0,20761.662397195636,50.93,1,0.33899545632891714
2402303,25.23,708.1584,77.05,94.0,19614.0,27543.23442439074,40.62,1,0.33899545632891714
2402402,65.52,750.8845,91.3,84.0,7992.0,18881.63163163163,70.15,0,0.33899545632891714
2402501,27.39,718.793,78.57,77.0,9714.0,23864.113650401483,42.55,1,0.33899545632891714
2402600,19.95,704.2868,,539.0,79115.0,15930.556784427732,40.56,1,0.33899545632891714
2402709,60.42,754.6268,77.97,92.0,11000.0,20485.636363636364,66.78,1,0.33899545632891714
2402808,40.66,731.3896,91.43,64.0,5117.0,12792.651944498728,53.15,1,0.33899545632891714
2402907,23.86,696.9786,92.68,38.0,4237.0,12784.98937927779,39.35,1,0.33899545632891714
2403004,51.8,742.4013,85.45,47.0,8005.0,19330.66833229232,61.01,1,0.33899545632891714
2403103,41.2,728.6968,80.6,241.0,41313.0,23136.712414978338,53.54,1,0.33899545632891714
2403202,53.88,741.4138,89.39,59.0,7044.0,15071.55025553663,62.41,1,0.33899545632891714
2403251,44.3,733.5997,72.65,1469.0,252716.0,30107.021320375443,55.79,1,0.33899545632891714
2403301,47.53,739.6646,94.34,50.0,6016.0,12474.06914893617,58.07,1,0.33899545632891714
2403400,20.52,709.9732,85.19,69.0,5360.0,16821.082089552237,36.1,1,0.33899545632891714
2403509,18.07,704.8803,,84.0,10620.0,11928.625235404896,53.38,1,0.33899545632891714
